disasterNumber,year,month,quarter,incident_duration_days,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,num_counties,tier_very_high,tier_high,tier_medium,tier_low,total_cost,log_total_cost,duration_x_counties
215,1966,3,1,0.0,0,0,0,0,25,False,False,True,False,0.0,0.0,0.0
216,1966,3,1,0.0,0,0,0,0,16,False,False,True,False,0.0,0.0,0.0
217,1966,4,2,0.0,0,0,0,0,5,False,False,True,False,0.0,0.0,0.0
218,1966,5,2,0.0,0,0,0,0,26,False,False,True,False,0.0,0.0,0.0
219,1966,6,2,0.0,0,0,0,0,2,False,False,False,True,0.0,0.0,0.0
220,1966,7,3,0.0,0,0,0,0,8,False,False,True,False,0.0,0.0,0.0
221,1966,8,3,0.0,0,0,0,0,8,False,False,True,False,0.0,0.0,0.0
222,1966,9,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
223,1967,1,1,0.0,0,0,0,0,8,False,False,True,False,0.0,0.0,0.0
224,1967,3,1,0.0,0,0,0,0,36,False,False,True,False,0.0,0.0,0.0
226,1967,3,1,0.0,0,0,0,0,18,False,False,True,False,0.0,0.0,0.0
227,1967,4,2,0.0,0,0,0,0,9,False,False,False,True,0.0,0.0,0.0
228,1967,7,3,0.0,0,0,0,0,56,False,False,True,False,0.0,0.0,0.0
229,1967,7,3,0.0,0,0,0,0,27,False,False,False,True,0.0,0.0,0.0
230,1967,8,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
231,1967,8,3,0.0,0,0,0,0,10,False,False,True,False,0.0,0.0,0.0
232,1967,9,3,0.0,0,0,0,0,29,True,False,False,False,0.0,0.0,0.0
233,1967,10,4,0.0,0,0,0,0,2,False,False,True,False,0.0,0.0,0.0
234,1968,2,1,0.0,0,0,0,0,21,False,True,False,False,0.0,0.0,0.0
236,1968,5,2,0.0,0,0,0,0,2,False,False,False,True,0.0,0.0,0.0
237,1968,5,2,0.0,0,0,0,0,5,False,False,False,True,0.0,0.0,0.0
238,1968,5,2,0.0,0,0,0,0,5,False,False,False,True,0.0,0.0,0.0
239,1968,5,2,0.0,0,0,0,0,26,False,False,False,True,0.0,0.0,0.0
240,1968,5,2,0.0,0,0,0,0,4,False,False,False,True,0.0,0.0,0.0
241,1968,5,2,0.0,0,0,0,0,5,False,False,True,False,0.0,0.0,0.0
242,1968,6,2,0.0,0,0,0,0,8,False,False,False,True,0.0,0.0,0.0
243,1968,6,2,0.0,0,0,0,0,28,False,False,True,False,0.0,0.0,0.0
244,1968,6,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
245,1968,6,2,0.0,0,0,0,0,7,False,False,True,False,0.0,0.0,0.0
246,1968,7,3,0.0,0,0,0,0,4,False,False,True,False,0.0,0.0,0.0
247,1968,7,3,0.0,0,0,0,0,12,False,False,True,False,0.0,0.0,0.0
248,1968,8,3,0.0,0,0,0,0,12,False,False,True,False,0.0,0.0,0.0
249,1968,8,3,0.0,0,0,0,0,5,False,False,True,False,0.0,0.0,0.0
250,1968,9,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
251,1968,9,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
252,1968,11,4,0.0,0,0,0,0,14,True,False,False,False,0.0,0.0,0.0
253,1969,1,1,0.0,0,0,0,0,37,False,False,True,False,0.0,0.0,0.0
254,1969,2,1,0.0,0,0,0,0,36,False,False,True,False,0.0,0.0,0.0
255,1969,4,2,0.0,0,0,0,0,70,False,False,True,False,0.0,0.0,0.0
256,1969,4,2,0.0,0,0,0,0,46,False,False,True,False,0.0,0.0,0.0
257,1969,4,2,0.0,0,0,0,0,26,False,False,True,False,0.0,0.0,0.0
258,1969,4,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
259,1969,4,2,0.0,0,0,0,0,40,False,False,True,False,0.0,0.0,0.0
260,1969,5,2,0.0,0,0,0,0,15,False,False,True,False,0.0,0.0,0.0
261,1969,5,2,0.0,0,0,0,0,15,False,False,True,False,0.0,0.0,0.0
262,1969,6,2,0.0,0,0,0,0,10,False,False,True,False,0.0,0.0,0.0
263,1969,7,3,0.0,0,0,0,0,6,False,False,True,False,0.0,0.0,0.0
264,1969,7,3,0.0,0,0,0,0,6,False,False,True,False,0.0,0.0,0.0
265,1969,7,3,0.0,0,0,0,0,11,False,False,True,False,0.0,0.0,0.0
266,1969,7,3,0.0,0,0,0,0,26,False,False,False,True,0.0,0.0,0.0
267,1969,7,3,0.0,0,0,0,0,20,False,False,False,True,0.0,0.0,0.0
268,1969,8,3,0.0,0,0,0,0,4,False,False,True,False,0.0,0.0,0.0
269,1969,8,3,0.0,0,0,0,0,47,False,False,True,False,0.0,0.0,0.0
270,1969,8,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
271,1969,8,3,0.0,0,0,0,0,27,True,False,False,False,0.0,0.0,0.0
272,1969,8,3,0.0,0,0,0,0,5,True,False,False,False,0.0,0.0,0.0
273,1969,8,3,0.0,0,0,0,0,4,False,False,True,False,0.0,0.0,0.0
274,1969,8,3,0.0,0,0,0,0,27,True,False,False,False,0.0,0.0,0.0
275,1969,8,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
276,1969,8,3,0.0,0,0,0,0,15,False,False,True,False,0.0,0.0,0.0
277,1969,8,3,0.0,0,0,0,0,2,False,False,True,False,0.0,0.0,0.0
278,1969,9,3,0.0,0,0,0,0,3,True,False,False,False,0.0,0.0,0.0
279,1969,9,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
280,1969,11,4,0.0,0,0,0,0,2,True,False,False,False,0.0,0.0,0.0
281,1969,12,4,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
282,1970,2,1,0.0,0,0,0,0,12,False,False,True,False,0.0,0.0,0.0
283,1970,2,1,0.0,0,0,0,0,17,False,False,True,False,0.0,0.0,0.0
284,1970,2,1,0.0,0,0,0,0,15,False,False,True,False,0.0,0.0,0.0
285,1970,4,2,0.0,0,0,0,0,2,False,False,True,False,0.0,0.0,0.0
286,1970,5,2,0.0,0,0,0,0,11,False,False,False,True,0.0,0.0,0.0
287,1970,6,2,0.0,0,0,0,0,21,False,False,True,False,0.0,0.0,0.0
288,1970,6,2,0.0,0,0,0,0,13,False,False,True,False,0.0,0.0,0.0
289,1970,7,3,0.0,0,0,0,0,3,False,False,True,False,0.0,0.0,0.0
290,1970,7,3,0.0,0,0,0,0,4,False,False,True,False,0.0,0.0,0.0
291,1970,7,3,0.0,0,0,0,0,11,False,False,True,False,0.0,0.0,0.0
292,1970,8,3,0.0,0,0,0,0,7,True,False,False,False,0.0,0.0,0.0
293,1970,9,3,0.0,0,0,0,0,16,False,False,True,False,0.0,0.0,0.0
294,1970,9,3,0.0,0,0,0,0,6,False,False,True,False,0.0,0.0,0.0
295,1970,9,3,0.0,0,0,0,0,6,False,False,True,False,0.0,0.0,0.0
296,1970,10,4,0.0,0,0,0,0,60,False,False,True,False,0.0,0.0,0.0
297,1970,10,4,0.0,0,0,0,0,15,False,False,True,False,0.0,0.0,0.0
298,1970,10,4,0.0,0,0,0,0,2,False,False,True,False,0.0,0.0,0.0
299,1971,2,1,0.0,0,0,0,0,1,False,True,False,False,0.0,0.0,0.0
300,1971,2,1,0.0,0,0,0,0,7,False,False,True,False,0.0,0.0,0.0
301,1971,2,1,0.0,0,0,0,0,2,False,False,True,False,0.0,0.0,0.0
302,1971,2,1,0.0,0,0,0,0,23,False,False,False,True,0.0,0.0,0.0
303,1971,2,1,0.0,0,0,0,0,19,False,False,True,False,0.0,0.0,0.0
304,1971,3,1,0.0,0,0,0,0,6,False,False,False,True,0.0,0.0,0.0
305,1971,5,2,0.0,0,0,0,0,8,False,False,False,True,0.0,0.0,0.0
306,1971,5,2,0.0,0,0,0,0,3,False,False,False,True,0.0,0.0,0.0
307,1971,5,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
308,1971,7,3,0.0,0,0,0,0,9,False,False,True,False,0.0,0.0,0.0
309,1971,8,3,0.0,0,0,0,0,9,False,False,True,False,0.0,0.0,0.0
310,1971,9,3,0.0,0,0,0,0,21,False,False,True,False,0.0,0.0,0.0
311,1971,9,3,0.0,0,0,0,0,13,False,False,True,False,0.0,0.0,0.0
312,1971,9,3,0.0,0,0,0,0,7,False,False,True,False,0.0,0.0,0.0
